Matemática;Juros Simples vs Compostos;Banca Padrão;Médio;Um capital C foi aplicado por 2 meses à mesma taxa de juros i. Os juros simples (Js) e os juros compostos (Jc) gerados foram:;Js = Jc;Js > Jc;Js < Jc;Impossível comparar.;;c;Correto. A partir do segundo período, os juros compostos (que incidem sobre juros anteriores) sempre serão maiores que os juros simples (que incidem só sobre o capital inicial).;Juros Compostos crescem mais rápido que Juros Simples (para t > 1).;
Psicologia (Saúde);Psicologia Comunitária;Banca Padrão;Fácil;A abordagem da Psicologia Comunitária se caracteriza principalmente por:;Foco no tratamento individual de transtornos mentais.;Atuação voltada para a promoção da saúde e fortalecimento de grupos e comunidades.;Aplicação de testes psicológicos em larga escala.;Pesquisa experimental em laboratório.;;b;Correto. Busca a transformação social, empoderamento e participação comunitária.;Foco no coletivo, na prevenção e na transformação social.;
Atualidades;Inteligência Artificial;Banca Padrão;Fácil;"O que significa a sigla \""LLM\"" no contexto da Inteligência Artificial?";Large Learning Model (Modelo de Aprendizagem Grande);Logical Language Module (Módulo de Linguagem Lógica);Large Language Model (Modelo de Linguagem Grande);Linear Logic Machine (Máquina de Lógica Linear);;c;Correto. LLMs são modelos de IA treinados com enormes quantidades de texto, capazes de entender e gerar linguagem natural (ex: GPT, Gemini, Llama).;LLMs são a base da IA Generativa de texto.;
Língua Portuguesa;Formação de Palavras;Banca Padrão;Médio;A palavra 'infelizmente' é formada por qual processo?;Derivação Prefixal;Derivação Sufixal;Derivação Parassintética;Derivação Prefixal e Sufixal;;d;Correto. A palavra 'feliz' recebeu primeiro o sufixo '-mente' (felizmente) e depois o prefixo 'in-' (infelizmente).;Analise a palavra 'mãe' (feliz) e os afixos adicionados.;
Direito Administrativo;Controle (Recursos);Banca Padrão;Médio;O recurso administrativo que visa provocar a reanálise da mesma matéria pela mesma autoridade que proferiu a decisão é chamado de:;Reclamação;Pedido de Reconsideração;Recurso Hierárquico Próprio;Recurso Hierárquico Impróprio;;b;Correto. O Pedido de Reconsideração é dirigido à própria autoridade, que pode reconsiderar sua decisão.;Reconsideração = Mesma autoridade. Hierárquico = Autoridade Superior.;Art. 106-108 da Lei 8.112/90 (exemplo)
Raciocínio Lógico;Probabilidade Condicional;Banca Padrão;Difícil;Em uma urna com 5 bolas Azuis (A) e 3 Vermelhas (V), retira-se uma bola e, sem reposição, retira-se outra. Qual a probabilidade de ambas serem Azuis?;25/64;20/64;20/56;15/56;;c;Correto. P(1ª ser A) = 5/8. Após tirar uma A, restam 7 bolas, sendo 4 Azuis. P(2ª ser A | 1ª foi A) = 4/7. P(Ambas A) = (5/8) * (4/7) = 20/56.;Probabilidade do segundo evento depende do resultado do primeiro (sem reposição).;P(A e B) = P(A) * P(B|A)
Direito Constitucional;Intervenção Federal;Banca Padrão;Médio;Em qual situação NÃO é permitida a decretação de Intervenção Federal nos Estados ou no DF?;Garantir o livre exercício de qualquer dos Poderes.;Repelir invasão estrangeira.;Pôr termo a grave comprometimento da ordem pública.;Para garantir o pagamento de dívida fundada.;;d;Correto. A CF prevê intervenção para reorganizar finanças ou garantir pagamento de dívida fundada por mais de 2 anos (Art. 34, V), mas o simples pagamento de dívida não autoriza.;A Intervenção Federal é medida excepcional.;Art. 34 da CF/88
Matemática;Logaritmos;Banca Padrão;Fácil;Qual o valor de log₂ 8 (logaritmo de 8 na base 2)?;2;3;4;8;;b;Correto. O logaritmo pergunta: 'Qual expoente devo elevar a base (2) para obter o logaritmando (8)?'. Como 2³ = 8, o log é 3.;Logaritmo é o expoente.;log<0xE2><0x82><0x90> b = x <=> aˣ = b
Psicologia (Gestão);Comunicação Organizacional;Banca Padrão;Fácil;O tipo de comunicação que flui dos níveis hierárquicos superiores para os inferiores (ex: chefe dando ordem ao subordinado) é chamado de:;Comunicação Ascendente;Comunicação Descendente;Comunicação Horizontal;Comunicação Diagonal;;b;Correto. Descendente (ou Vertical Descendente) é de cima para baixo.;Descendente = De Cima para Baixo.;
Atualidades;Brasil (Sociedade);Banca Padrão;Fácil;A Lei nº 13.709/2018, que estabelece regras sobre o tratamento de dados pessoais no Brasil, é conhecida como:;Marco Civil da Internet;Lei Carolina Dieckmann;Lei Geral de Proteção de Dados (LGPD);Estatuto da Criança e do Adolescente (ECA);;c;Correto. A LGPD é a lei brasileira sobre privacidade e proteção de dados.;LGPD = Proteção de Dados Pessoais.;
Língua Portuguesa;Classes de Palavras (Advérbio);Banca Padrão;Fácil;Em 'Ele correu muito', a palavra destacada é um advérbio de:;Lugar;Tempo;Modo;Intensidade;;d;Correto. 'Muito' está intensificando o verbo 'correu'.;Advérbio de Intensidade modifica o verbo, adjetivo ou outro advérbio, indicando grau.;
Direito Administrativo;Responsabilidade Civil do Estado (Excludentes);Banca Padrão;Médio;Qual das seguintes situações, se comprovada como causa única do dano, EXCLUI a responsabilidade objetiva do Estado?;Culpa concorrente da vítima.;Caso fortuito ou força maior.;Culpa exclusiva da vítima.;Fato de terceiro.;;c;Correto. Se o dano foi causado unicamente pela vítima, rompe-se o nexo causal e o Estado não responde.;Excludentes da Resp. Objetiva (Risco Adm.): Culpa Exclusiva da Vítima, Caso Fortuito/Força Maior, Fato de Terceiro (algumas discussões).;
Raciocínio Lógico;Lógica de Primeira Ordem;Banca Padrão;Difícil;Qual é a negação de '∀x (P(x) -> Q(x))' (Para todo x, se P(x) então Q(x))?;∃x (~P(x) -> ~Q(x));∀x (P(x) ^ ~Q(x));∃x (P(x) ^ ~Q(x));∃x (~P(x) v Q(x));;c;Correto. Negação de 'Para Todo' (∀) é 'Existe' (∃). Negação de 'P -> Q' é 'P ^ ~Q'. Portanto, a negação é ∃x (P(x) ^ ~Q(x)).;~[∀x, A(x)] <=> ∃x, ~A(x). Use a negação da condicional.;
Direito Constitucional;Nacionalidade (Naturalização);Banca Padrão;Médio;Um estrangeiro que reside no Brasil há mais de 15 anos ininterruptos e sem condenação penal pode requerer a nacionalidade brasileira por qual modalidade de naturalização?;Ordinária;Extraordinária;Especial;Provisória;;b;Correto. A naturalização extraordinária é para quem cumpre esses requisitos (15 anos, sem condenação).;Extraordinária = Tempo longo (15 anos) + Sem condenação.;Art. 12, II, b) da CF/88
Matemática;Médias (Ponderada);Banca Padrão;Fácil;Um aluno teve nota 8 no trabalho (peso 2) e nota 6 na prova (peso 3). Qual sua média ponderada?;6,8;7,0;7,2;7,4;;a;Correto. Média = (Nota1Peso1 + Nota2Peso2) / (Soma dos Pesos). M = (82 + 63) / (2+3) = (16 + 18) / 5 = 34 / 5 = 6,8.;Multiplique cada nota pelo seu peso, some os resultados e divida pela soma dos pesos.;Mp = (N1P1 + N2P2) / (P1 + P2)
Psicologia (Saúde);Abordagens Terapêuticas;Banca Padrão;Fácil;Qual abordagem terapêutica, desenvolvida por Carl Rogers, enfatiza a 'aceitação positiva incondicional', a 'empatia' e a 'congruência' do terapeuta como condições essenciais para a mudança do cliente?;Psicanálise;Terapia Cognitivo-Comportamental (TCC);Abordagem Centrada na Pessoa (ACP);Gestalt-Terapia;;c;Correto. Estes são os três pilares da ACP de Rogers.;ACP = Foco na relação terapêutica e no potencial de crescimento do cliente.;
Atualidades;Geopolítica;Banca Padrão;Fácil;A disputa territorial histórica entre Israel e Palestina envolve, principalmente, o controle sobre qual cidade, considerada sagrada por três grandes religiões?;Tel Aviv;Jerusalém;Gaza;Ramallah;;b;Correto. Jerusalém é sagrada para o Judaísmo, Cristianismo e Islamismo, sendo o epicentro do conflito.;A questão de Jerusalém é um dos pontos mais complexos do conflito.;
Língua Portuguesa;Orações Subordinadas Adverbiais;Banca Padrão;Fácil;A oração destacada em 'Como estava chovendo, não fomos ao parque' expressa uma ideia de:;Causa;Consequência;Condição;Concessão;;a;Correto. Indica o motivo pelo qual não foram ao parque.;'Como' no início da frase, equivalendo a 'Já que' ou 'Porque', indica causa.;
Direito Administrativo;Bens Públicos (Alienação);Banca Padrão;Difícil;A venda de um bem público dominical (ex: terreno sem uso) para outro órgão ou entidade da Administração Pública, independe de licitação e é chamada de:;Permuta;Doação;Dação em pagamento;Investidura;;a;Correto. A permuta é uma forma de alienação mútua, dispensada de licitação entre órgãos e entidades.;A alienação de bens entre órgãos/entidades da Adm. Pública é caso de dispensa de licitação (Lei 14.133, Art. 76, I).;
Raciocínio Lógico;Verdades e Mentiras;Banca Padrão;Difícil;Ana, Bia e Carla são irmãs. Uma delas quebrou um vaso. Ana diz: 'Não fui eu'. Bia diz: 'Foi a Carla'. Carla diz: 'Bia mente'. Sabendo que APENAS UMA delas está mentindo, quem quebrou o vaso?;Ana;Bia;Carla;Impossível determinar.;;a;"\""Correto. Se Ana mente (foi ela), então Bia e Carla falam a verdade. Bia diz 'Foi Carla' (F). Carla diz 'Bia mente' (V). Isso é consistente (apenas Ana mente).\""";;
Direito Constitucional;Controle de Constitucionalidade (Tipos);Banca Padrão;Fácil;O controle de constitucionalidade realizado de forma preventiva, antes da lei entrar em vigor, durante o processo legislativo, é chamado de:;Controle Repressivo;Controle Concentrado;Controle Difuso;Controle Preventivo;;d;Correto. É o controle feito pelo Legislativo (CCJ) ou pelo Executivo (veto jurídico).;Preventivo = Antes da Lei. Repressivo = Depois da Lei.;
Matemática;Área e Perímetro;Banca Padrão;Médio;Um terreno retangular tem área de 150 m² e um dos lados mede 10 m. Qual o seu perímetro?;50 m;40 m;60 m;30 m;;a;Correto. Área = C * L => 150 = 10 * L => L = 15 m. Perímetro = 2*(C + L) = 2*(10 + 15) = 2*25 = 50 m.;Primeiro ache o outro lado usando a área, depois calcule o perímetro.;P = 2 * (C + L)
Psicologia (Saúde);Neuropsicologia;Banca Padrão;Médio;A área do cérebro localizada no lobo frontal, crucial para funções executivas como planejamento, tomada de decisão e controle inibitório, é o:;Córtex Occipital;Córtex Temporal;Córtex Parietal;Córtex Pré-frontal;;d;Correto. O Córtex Pré-frontal é o 'CEO' do cérebro.;Funções Executivas = Córtex Pré-frontal.;
Atualidades;Meio Ambiente;Banca Padrão;Médio;O derramamento de grandes quantidades de óleo no litoral do Nordeste brasileiro em 2019 foi um dos maiores desastres ambientais do país. A origem do óleo:;Foi identificada como um navio petroleiro grego.;Foi identificada como uma plataforma da Petrobras.;Foi atribuída a múltiplos navios de forma conclusiva.;Permanece incerta ou não comprovada judicialmente.;;d;Correto. Apesar das investigações, a origem exata e a responsabilidade pelo derramamento não foram definitivamente estabelecidas.;O caso levantou discussões sobre a fiscalização marítima.;
Língua Portuguesa;Estrutura das Palavras (Radical);Banca Padrão;Fácil;Qual o radical da palavra 'pedreiro'?;Pedr-;Pedrei-;Pedreir-;Pedra;;a;Correto. 'Pedr-' é a parte que contém o significado básico e se repete em 'pedra', 'pedregulho'.;Radical = Parte mínima com o significado essencial.;
disciplina;materia;Banca Padrão;dificuldade;enunciado;alternativa_a;alternativa_b;alternativa_c;alternativa_d;alternativa_e;resposta_correta;justificativa;dica;formula
Direito Administrativo;Acumulação de Cargos Públicos;Banca Padrão;Médio;Francisco, servidor público titular do cargo efetivo de médico em Município brasileiro, submete-se a novo concurso público e é aprovado dentro do número de vagas oferecidas para o emprego de médico-cirurgião em fundação pública estadual de saúde. Sabendo-se que há compatibilidade de horários para o exercício das duas funções, sobre a cumulação, em tal hipótese, assinale a afirmativa correta.;É lícita, observando-se que o somatório das remunerações respectivas não poderá ultrapassar o limite máximo remuneratório aplicável aos Estados-membros.;É lícita, observando-se que o somatório das remunerações respectivas não poderá ultrapassar o teto remuneratório relativo ao subsídio mensal, em espécie, do Ministro do Supremo Tribunal Federal.;É lícita, observando-se que o teto remuneratório deve ser considerado em relação à remuneração de cada um dos vínculos, e não ao somatório do que é recebido.;É ilícita, uma vez que a acumulação de cargos, empregos e funções públicas somente é autorizada na esfera do mesmo ente federativo, observando-se o limite máximo de remuneração aplicável ao Chefe do Poder Executivo respectivo.;É ilícita, uma vez que a acumulação de cargos públicos somente é autorizada na esfera da própria Administração Direta, observando-se o teto remuneratório aplicável ao Chefe do Poder Executivo respectivo.;b;A Constituição Federal, em seu art. 37, XVI, veda a acumulação de cargos públicos, exceto quando houver compatibilidade de horários e a soma dos vencimentos não ultrapassar o subsídio do Ministro do STF. Além disso, a acumulação é permitida entre cargos de diferentes entes federativos, desde que observados os requisitos constitucionais.;Lembre-se de que o teto remuneratório para acumulação é o subsídio do Ministro do STF, e não o limite do ente federativo.;Não se aplica.
Direito Administrativo;Tribunal de Contas e Execução de Débito;Banca Padrão;Médio;O Tribunal de Contas estadual realizou auditoria para verificar a regularidade da execução de obras públicas em Município submetido à sua jurisdição. Em decorrência de achados relacionados a medições a maior em etapas contratuais, a auditoria foi convertida em tomada de contas, culminando com imputação de débito e aplicação de multa, decorrentes de dano ao erário, aos agentes públicos municipais responsáveis pelas irregularidades, observado o devido processo legal. Considerando a situação hipotética acima, caso não ocorra o adimplemento voluntário das condenações, a execução do crédito decorrente da imputação de débito e da aplicação de multa caberá ao;próprio Tribunal de Contas estadual, em ambos os casos.;Município prejudicado, em ambos os casos.;Estado-membro, em cuja estrutura se insere o Tribunal de Contas, em ambos os casos.;Município prejudicado, relativamente à imputação de débito, e ao Tribunal de Contas estadual, relativamente à multa.;Município prejudicado, relativamente à imputação de débito, e ao Estado-membro, em cuja estrutura se encontra o Tribunal de Contas, relativamente à multa.;d;De acordo com a Lei Orgânica dos Tribunais de Contas (Lei 8.443/92), a execução do débito imputado cabe ao ente lesado (Município), enquanto a multa aplicada pelo Tribunal de Contas é executada pelo próprio Tribunal.;A multa é uma sanção administrativa aplicada pelo TC, e o débito é ressarcido ao ente lesado.;Não se aplica.
Direito Constitucional;Devido Processo Legal;Banca Padrão;Médio;A respeito da cláusula constitucional do devido processo legal em âmbito judicial e administrativo, assinale a afirmativa correta.;Viola as garantias do juiz natural, da ampla defesa e do devido processo legal a atração por continência ou conexão do processo do corréu ao foro por prerrogativa de função de um dos denunciados.;É inconstitucional, por violação à garantia da ampla defesa e do devido processo legal, sanção aplicada em processo administrativo disciplinar no qual não tenha havido defesa técnica por advogado.;É constitucional a exigência de depósito prévio como requisito de admissibilidade de ação judicial na qual se pretenda discutir a exigibilidade de crédito tributário, compatibilizando-se com a garantia do devido processo legal e do acesso à Justiça.;É direito do defensor, no interesse do representado, ter acesso amplo aos elementos de prova que, já documentados em procedimento investigatório realizado por órgão com competência de polícia judiciária, digam respeito ao exercício do direito de defesa.;Nos processos perante os Tribunais de Contas asseguram-se o contraditório e a ampla defesa quando a decisão puder resultar em impacto na esfera jurídica de terceiros, excetuada a apreciação das contas de governo, por serem objeto de parecer prévio destituído de natureza decisória.;d;O inciso LXIII do art. 5º da CF assegura o direito ao acesso amplo à prova, e o STF já pacificou que o defensor tem direito a acessar os elementos de prova já documentados em investigação, para exercer o direito de defesa.;O devido processo legal abrange tanto o judicial quanto o administrativo, e o acesso à prova é essencial para a defesa.;Não se aplica.
